Make,Model,Year Start,Year End,Front Sprocket,Rear Sprocket,Chain Size,Chain Length,Recommended Chain,Recommended Chain URL
Yamaha,YZ250F,2004,2009,13,48,520,114,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
Yamaha,YZ250F,2010,2011,13,49,520,116,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
Yamaha,YZ250F,2012,2025,13,50,520,114,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
Yamaha,YZ450F,2003,2009,13,48,520,114,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
Yamaha,YZ450F,2010,2013,13,48,520,116,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
Yamaha,YZ450F,2014,2025,13,49,520,114,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
Yamaha,YZ125,2004,2022,13,48,428,126,DID 428VX,https://www.didchain.com/collections/street-chains/products/428vx/
Yamaha,YZ250,2005,2025,13,48,520,114,DID 520MX,https://www.didchain.com/collections/street-chains/products/520mx/
Yamaha,WR250F,2015,2025,13,50,520,114,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Yamaha,WR450F,2012,2025,13,49,520,114,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Yamaha,YZF-R6,2006,2021,16,45,525,114,DID 525ZVMX,https://www.didchain.com/collections/street-chains/products/525zvmx/
Yamaha,YZF-R7,2021,2025,16,43,525,108,DID 525ZVMX,https://www.didchain.com/collections/street-chains/products/525zvmx/
Yamaha,YZF-R1,2004,2008,17,45,530,116,DID 530ZVMX,https://www.didchain.com/collections/street-chains/products/530zvmx/
Yamaha,YZF-R1,2009,2014,17,47,530,120,DID 530ZVMX,https://www.didchain.com/collections/street-chains/products/530zvmx/
Yamaha,YZF-R1,2015,2024,16,41,525,114,DID 525ZVMX,https://www.didchain.com/collections/street-chains/products/525zvmx/
Yamaha,MT-09,2014,2025,16,45,525,110,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Yamaha,XSR900,2016,2025,16,45,525,110,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Yamaha,MT-07,2015,2025,16,43,525,108,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Yamaha,XSR700,2018,2024,16,43,525,108,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Yamaha,MT-03,2020,2025,14,43,520,108,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Yamaha,YZF-R3,2015,2025,14,43,520,108,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Yamaha,Tenere 700,2019,2025,16,46,525,114,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Honda,CRF250R,2004,2009,13,48,520,114,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
Honda,CRF250R,2010,2021,13,49,520,116,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
Honda,CRF250R,2022,2025,13,50,520,114,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
Honda,CRF250RX,2019,2021,13,49,520,116,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
Honda,CRF250RX,2022,2025,13,50,520,114,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
Honda,CRF450R,2004,2016,13,48,520,114,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
Honda,CRF450R,2017,2025,13,49,520,114,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
Honda,CRF450RX,2017,2025,13,49,520,114,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
Honda,CRF125F,2014,2025,14,54,428,118,DID 428VX,https://www.didchain.com/collections/street-chains/products/428vx/
Honda,CRF300L,2021,2025,13,38,520,106,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Honda,CBR600RR,2007,2024,16,42,525,112,DID 525ZVMX,https://www.didchain.com/collections/street-chains/products/525zvmx/
Honda,CBR1000RR,2008,2017,16,42,530,116,DID 530ZVMX,https://www.didchain.com/collections/street-chains/products/530zvmx/
Honda,CBR1000RR-R,2020,2025,16,40,525,118,DID 525ZVMX,https://www.didchain.com/collections/street-chains/products/525zvmx/
Honda,CB650R,2019,2025,15,42,525,112,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Honda,CBR650R,2019,2025,15,42,525,112,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Honda,CB500F,2013,2025,15,41,520,112,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Honda,CBR500R,2013,2025,15,41,520,112,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Honda,CB500X,2013,2025,15,41,520,112,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Honda,Rebel 500,2017,2025,15,36,520,108,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Honda,Rebel 1100,2021,2025,16,38,520,108,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Honda,Africa Twin CRF1100L,2020,2025,16,42,525,124,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Honda,NC750X,2014,2024,17,43,520,116,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Honda,CB300R,2019,2025,14,36,520,104,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Kawasaki,KX250F,2004,2018,13,48,520,114,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
Kawasaki,KX250,2019,2025,13,48,520,114,DID 520MX,https://www.didchain.com/collections/street-chains/products/520mx/
Kawasaki,KX450F,2006,2011,13,50,520,116,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
Kawasaki,KX450F,2012,2018,13,49,520,116,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
Kawasaki,KX450,2019,2025,13,49,520,116,DID 520MX,https://www.didchain.com/collections/street-chains/products/520mx/
Kawasaki,KX450SR,2022,2025,13,49,520,116,DID 520MX,https://www.didchain.com/collections/street-chains/products/520mx/
Kawasaki,ZX-10R,2011,2015,17,39,525,112,DID 525ZVMX,https://www.didchain.com/collections/street-chains/products/525zvmx/
Kawasaki,ZX-10R,2016,2020,17,39,525,114,DID 525ZVMX,https://www.didchain.com/collections/street-chains/products/525zvmx/
Kawasaki,ZX-10R,2021,2025,17,41,525,116,DID 525ZVMX,https://www.didchain.com/collections/street-chains/products/525zvmx/
Kawasaki,ZX-6R,2013,2024,15,43,520,112,DID 520ZVM-X,https://www.didchain.com/collections/street-chains/products/520zvmx/
Kawasaki,ZX-4RR,2023,2025,14,46,520,108,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Kawasaki,Ninja 400,2018,2025,14,42,520,106,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Kawasaki,Z900,2017,2025,15,44,525,114,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Kawasaki,Z650,2017,2025,15,46,520,114,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Kawasaki,Ninja 650,2017,2025,15,46,520,114,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Kawasaki,Z400,2019,2025,14,42,520,106,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Kawasaki,Versys 650,2015,2025,15,46,520,114,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Kawasaki,KLX300R,2020,2025,13,43,520,108,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Kawasaki,KLX230R,2020,2025,13,43,520,104,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Kawasaki,Vulcan S 650,2015,2025,15,46,520,120,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Suzuki,RM-Z250,2005,2009,13,48,520,114,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
Suzuki,RM-Z250,2010,2020,13,49,520,116,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
Suzuki,RM-Z450,2005,2020,13,49,520,116,DID 520ERV7,https://www.didchain.com/collections/street-chains/products/520erv7/
Suzuki,GSX-R600,2006,2022,16,43,525,114,DID 525ZVMX,https://www.didchain.com/collections/street-chains/products/525zvmx/
Suzuki,GSX-R750,2006,2010,17,43,525,116,DID 525ZVMX,https://www.didchain.com/collections/street-chains/products/525zvmx/
Suzuki,GSX-R750,2011,2022,17,45,525,116,DID 525ZVMX,https://www.didchain.com/collections/street-chains/products/525zvmx/
Suzuki,GSX-R1000,2009,2016,17,43,525,118,DID 525ZVMX,https://www.didchain.com/collections/street-chains/products/525zvmx/
Suzuki,GSX-R1000,2017,2024,17,44,525,118,DID 525ZVMX,https://www.didchain.com/collections/street-chains/products/525zvmx/
Suzuki,GSX-S1000,2016,2024,17,44,525,114,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Suzuki,GSX-S750,2017,2022,15,43,525,114,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Suzuki,GSX-8S,2023,2025,14,46,525,116,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Suzuki,GSX-8R,2024,2025,14,46,525,116,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Suzuki,SV650,2003,2012,15,46,520,112,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Suzuki,SV650,2017,2025,15,46,520,112,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
Suzuki,V-Strom 650,2004,2025,15,47,525,118,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Suzuki,V-Strom 1050,2020,2025,17,42,525,118,DID 525VX3,https://www.didchain.com/collections/street-chains/products/525vx3/
Suzuki,DR-Z400SM,2005,2024,15,44,520,110,DID 520VX3,https://www.didchain.com/collections/street-chains/products/520vx3/
